ID,Drink,Time,NegUrg
1,1.4,0,-1.08
2,6.4,0,-0.21
3,6.3,0,0.79
4,4.7,0,-0.20
5,5.7,0,-0.55
6,1.8,0,-1.66
7,3.1,0,0.72
8,2.2,0,-0.66
9,2.9,0,0.24
10,2.7,0,0.92
11,1.1,0,-1.34
12,2.6,0,-0.50
13,4.7,0,0.12
14,5.2,0,1.13
15,2.5,0,0.02
16,2.0,0,0.00
17,3.2,0,-0.58
18,1.0,0,1.44
19,3.0,0,-0.32
20,7.1,0,0.76
21,1.5,0,-0.28
22,4.2,0,0.15
23,4.4,0,0.39
24,3.4,0,-1.53
25,0.9,0,-0.67
26,1.3,0,-2.19
27,3.8,0,-0.03
28,3.2,0,0.07
29,1.8,0,0.79
30,3.0,0,0.91
31,7.4,0,0.13
32,2.4,0,0.12
33,2.2,0,2.07
34,2.1,0,1.09
35,3.8,0,1.47
36,4.3,0,0.52
37,1.9,0,-0.77
38,2.2,0,-0.52
39,2.8,0,-1.60
40,6.9,0,0.58
41,2.6,0,0.09
42,3.9,0,1.33
43,2.0,0,-0.55
44,1.6,0,-0.32
45,3.3,0,-0.19
46,1.6,0,-0.39
47,2.5,0,0.45
48,0.4,0,-0.28
49,6.9,0,-0.87
50,3.3,0,0.01
51,1.9,0,1.72
52,3.9,0,0.02
53,1.6,0,-0.40
54,1.1,0,-0.35
55,0.8,0,1.07
56,1.9,0,-0.97
57,6.1,0,-0.48
58,3.0,0,1.10
59,4.4,0,-0.12
60,2.4,0,0.45
61,3.1,0,-0.54
62,3.4,0,0.82
63,2.7,0,-0.42
64,3.8,0,1.17
65,3.9,0,-1.26
66,4.5,0,-1.36
67,2.0,0,-0.09
68,3.2,0,-0.68
69,4.5,0,-0.96
70,1.3,0,-2.41
71,2.0,0,0.52
72,4.2,0,0.53
73,2.6,0,-1.26
74,2.7,0,0.45
75,7.0,0,1.84
76,1.4,0,-0.21
77,3.4,0,0.56
78,3.8,0,-0.44
79,8.1,0,-2.08
80,3.0,0,-0.49
81,4.0,0,1.91
82,6.1,0,0.53
83,2.7,0,1.16
84,4.0,0,0.74
85,2.0,0,-0.76
86,2.3,0,0.23
87,4.1,0,-1.21
88,5.9,0,1.28
89,2.3,0,0.77
90,2.7,0,1.19
91,3.6,0,1.09
92,1.7,0,-1.37
93,5.8,0,2.17
94,3.3,0,0.99
95,1.8,0,0.84
96,3.2,0,2.06
97,2.4,0,1.05
98,3.4,0,0.22
99,1.9,0,1.80
100,3.5,0,-0.11
101,3.4,0,-1.08
102,0.9,0,-0.31
103,2.4,0,-0.78
104,3.6,0,0.23
105,3.5,0,0.71
106,7.2,0,0.05
107,6.2,0,1.79
108,10.9,0,-0.25
109,3.2,0,-1.58
110,5.2,0,1.93
111,5.5,0,0.05
112,2.3,0,0.54
113,2.7,0,-0.16
114,6.8,0,-0.79
115,1.8,0,-0.32
116,2.8,0,0.66
117,1.7,0,0.27
118,2.3,0,0.05
119,2.4,0,0.50
120,1.7,0,-1.91
121,2.0,0,-0.19
122,2.9,0,0.08
123,2.6,0,-0.44
124,1.0,0,-0.73
125,3.1,0,1.28
126,2.0,0,1.53
127,3.9,0,1.12
128,11.1,0,1.42
129,4.1,0,0.56
130,4.3,0,0.18
131,2.4,0,1.22
132,0.7,0,-2.50
133,2.3,0,-0.21
134,1.6,0,-1.38
135,1.0,0,-0.91
136,3.6,0,-1.11
137,1.4,0,1.41
138,1.3,0,-0.26
139,3.7,0,1.85
140,1.0,0,-0.69
141,2.5,0,-0.29
142,0.7,0,-0.51
143,2.3,0,-0.30
144,2.0,0,0.12
145,3.8,0,-1.42
146,1.8,0,-0.55
147,4.9,0,-1.00
148,2.4,0,-0.11
149,2.2,0,-1.23
150,1.1,0,-1.11
151,0.9,0,-0.24
152,2.1,0,-0.44
153,7.0,0,-0.49
154,10.1,0,1.01
155,2.3,0,-0.11
156,3.7,0,-1.04
157,3.6,0,0.94
158,3.6,0,0.25
159,2.5,0,0.28
160,2.9,0,-0.84
161,6.2,0,-0.65
162,2.4,0,0.37
163,2.8,0,-1.07
164,3.9,0,0.32
165,3.8,0,-1.34
166,3.8,0,1.16
167,4.1,0,-0.24
168,4.0,0,-1.02
169,2.7,0,-0.48
170,3.0,0,-2.19
171,5.3,0,-1.17
172,5.9,0,0.02
173,4.1,0,0.68
174,6.7,0,-0.20
175,4.4,0,0.40
176,5.2,0,0.60
177,1.4,0,1.17
178,3.1,0,1.13
179,2.0,0,-0.94
180,5.2,0,0.00
181,1.6,0,-0.06
182,3.2,0,-0.32
183,3.1,0,1.52
184,2.6,0,-0.34
185,0.8,0,-1.28
186,2.3,0,-0.05
187,1.9,0,0.30
188,4.4,0,-0.56
189,2.5,0,-0.86
190,0.9,0,-1.60
191,2.4,0,-0.28
192,2.3,0,-0.28
193,2.7,0,-0.33
194,3.2,0,0.11
195,2.3,0,0.85
196,5.6,0,-0.60
197,2.2,0,1.38
198,1.5,0,1.60
199,5.8,0,1.36
200,3.7,0,1.34
1,1.8,1,-1.08
2,6.0,1,-0.21
3,2.7,1,0.79
4,2.4,1,-0.20
5,3.2,1,-0.55
6,2.6,1,-1.66
7,2.9,1,0.72
8,5.0,1,-0.66
9,9.2,1,0.24
10,5.0,1,0.92
11,2.0,1,-1.34
12,3.2,1,-0.50
13,6.5,1,0.12
14,4.0,1,1.13
15,2.8,1,0.02
16,3.2,1,0.00
17,3.2,1,-0.58
18,8.6,1,1.44
19,1.2,1,-0.32
20,4.3,1,0.76
21,3.5,1,-0.28
22,3.0,1,0.15
23,4.9,1,0.39
24,1.8,1,-1.53
25,9.9,1,-0.67
26,0.7,1,-2.19
27,1.5,1,-0.03
28,4.2,1,0.07
29,7.9,1,0.79
30,5.2,1,0.91
31,11.2,1,0.13
32,1.6,1,0.12
33,8.0,1,2.07
34,4.2,1,1.09
35,6.3,1,1.47
36,3.4,1,0.52
37,1.9,1,-0.77
38,5.2,1,-0.52
39,1.1,1,-1.60
40,4.6,1,0.58
41,9.9,1,0.09
42,3.3,1,1.33
43,3.1,1,-0.55
44,1.5,1,-0.32
45,2.7,1,-0.19
46,3.3,1,-0.39
47,5.5,1,0.45
48,6.4,1,-0.28
49,4.9,1,-0.87
50,5.9,1,0.01
51,4.2,1,1.72
52,5.0,1,0.02
53,7.0,1,-0.40
54,3.5,1,-0.35
55,2.8,1,1.07
56,2.2,1,-0.97
57,3.1,1,-0.48
58,4.0,1,1.10
59,7.5,1,-0.12
60,4.1,1,0.45
61,2.2,1,-0.54
62,7.1,1,0.82
63,2.8,1,-0.42
64,4.4,1,1.17
65,2.3,1,-1.26
66,1.2,1,-1.36
67,2.9,1,-0.09
68,4.4,1,-0.68
69,2.0,1,-0.96
70,2.7,1,-2.41
71,4.4,1,0.52
72,1.1,1,0.53
73,3.6,1,-1.26
74,2.2,1,0.45
75,4.3,1,1.84
76,1.6,1,-0.21
77,1.8,1,0.56
78,4.5,1,-0.44
79,1.2,1,-2.08
80,2.0,1,-0.49
81,3.5,1,1.91
82,2.9,1,0.53
83,2.7,1,1.16
84,2.7,1,0.74
85,1.4,1,-0.76
86,1.3,1,0.23
87,1.6,1,-1.21
88,13.5,1,1.28
89,3.2,1,0.77
90,2.2,1,1.19
91,3.2,1,1.09
92,2.6,1,-1.37
93,3.6,1,2.17
94,6.4,1,0.99
95,5.7,1,0.84
96,1.8,1,2.06
97,3.8,1,1.05
98,2.7,1,0.22
99,2.2,1,1.80
100,3.0,1,-0.11
101,1.3,1,-1.08
102,3.8,1,-0.31
103,4.7,1,-0.78
104,6.7,1,0.23
105,6.1,1,0.71
106,3.0,1,0.05
107,9.9,1,1.79
108,2.0,1,-0.25
109,4.4,1,-1.58
110,3.1,1,1.93
111,5.0,1,0.05
112,1.5,1,0.54
113,7.9,1,-0.16
114,7.8,1,-0.79
115,2.8,1,-0.32
116,2.3,1,0.66
117,2.0,1,0.27
118,2.6,1,0.05
119,3.1,1,0.50
120,0.5,1,-1.91
121,7.6,1,-0.19
122,1.3,1,0.08
123,0.8,1,-0.44
124,0.5,1,-0.73
125,1.9,1,1.28
126,4.3,1,1.53
127,4.9,1,1.12
128,21.0,1,1.42
129,3.9,1,0.56
130,3.3,1,0.18
131,3.0,1,1.22
132,2.4,1,-2.50
133,2.7,1,-0.21
134,1.5,1,-1.38
135,2.3,1,-0.91
136,1.2,1,-1.11
137,8.0,1,1.41
138,4.6,1,-0.26
139,3.2,1,1.85
140,1.3,1,-0.69
141,6.4,1,-0.29
142,6.4,1,-0.51
143,3.0,1,-0.30
144,2.4,1,0.12
145,3.6,1,-1.42
146,6.1,1,-0.55
147,5.5,1,-1.00
148,9.1,1,-0.11
149,1.7,1,-1.23
150,2.1,1,-1.11
151,3.3,1,-0.24
152,2.4,1,-0.44
153,0.9,1,-0.49
154,3.7,1,1.01
155,1.6,1,-0.11
156,1.3,1,-1.04
157,5.8,1,0.94
158,3.0,1,0.25
159,2.7,1,0.28
160,4.0,1,-0.84
161,2.0,1,-0.65
162,1.1,1,0.37
163,2.7,1,-1.07
164,1.3,1,0.32
165,3.4,1,-1.34
166,3.1,1,1.16
167,1.0,1,-0.24
168,3.7,1,-1.02
169,3.9,1,-0.48
170,2.9,1,-2.19
171,1.7,1,-1.17
172,1.0,1,0.02
173,4.1,1,0.68
174,7.3,1,-0.20
175,3.8,1,0.40
176,1.2,1,0.60
177,3.4,1,1.17
178,1.4,1,1.13
179,1.7,1,-0.94
180,2.1,1,0.00
1,2.0,2,-1.08
2,14.9,2,-0.21
3,4.0,2,0.79
4,3.6,2,-0.20
5,2.6,2,-0.55
6,1.6,2,-1.66
7,5.8,2,0.72
8,1.7,2,-0.66
9,3.0,2,0.24
10,9.6,2,0.92
11,0.7,2,-1.34
12,3.5,2,-0.50
13,8.8,2,0.12
14,10.0,2,1.13
15,3.3,2,0.02
16,3.0,2,0.00
17,3.0,2,-0.58
18,20.2,2,1.44
19,1.8,2,-0.32
20,14.9,2,0.76
21,3.3,2,-0.28
22,3.0,2,0.15
23,14.2,2,0.39
24,1.3,2,-1.53
25,1.7,2,-0.67
26,1.0,2,-2.19
27,1.5,2,-0.03
28,5.7,2,0.07
29,5.2,2,0.79
30,2.6,2,0.91
31,1.2,2,0.13
32,6.8,2,0.12
33,13.9,2,2.07
34,3.9,2,1.09
35,7.0,2,1.47
36,2.4,2,0.52
37,1.8,2,-0.77
38,1.3,2,-0.52
39,0.1,2,-1.60
40,12.4,2,0.58
41,5.3,2,0.09
42,6.1,2,1.33
43,1.5,2,-0.55
44,1.0,2,-0.32
45,1.9,2,-0.19
46,1.4,2,-0.39
47,5.2,2,0.45
48,3.8,2,-0.28
49,7.5,2,-0.87
50,5.5,2,0.01
51,3.5,2,1.72
52,8.3,2,0.02
53,2.6,2,-0.40
54,1.7,2,-0.35
55,4.4,2,1.07
56,2.9,2,-0.97
57,3.9,2,-0.48
58,7.1,2,1.10
59,6.6,2,-0.12
60,6.8,2,0.45
61,1.8,2,-0.54
62,0.8,2,0.82
63,2.5,2,-0.42
64,3.1,2,1.17
65,1.6,2,-1.26
66,0.9,2,-1.36
67,3.4,2,-0.09
68,7.2,2,-0.68
69,2.1,2,-0.96
70,8.9,2,-2.41
71,4.3,2,0.52
72,6.5,2,0.53
73,4.2,2,-1.26
74,3.4,2,0.45
75,3.7,2,1.84
76,4.8,2,-0.21
77,3.9,2,0.56
78,3.9,2,-0.44
79,0.8,2,-2.08
80,4.6,2,-0.49
81,2.9,2,1.91
82,1.4,2,0.53
83,4.7,2,1.16
84,6.4,2,0.74
85,1.3,2,-0.76
86,2.4,2,0.23
87,4.6,2,-1.21
88,19.7,2,1.28
89,2.2,2,0.77
90,2.8,2,1.19
91,6.0,2,1.09
92,3.7,2,-1.37
93,5.2,2,2.17
94,14.9,2,0.99
95,2.1,2,0.84
96,10.7,2,2.06
97,0.8,2,1.05
98,3.2,2,0.22
99,7.1,2,1.80
100,4.2,2,-0.11
101,3.7,2,-1.08
102,11.5,2,-0.31
103,2.6,2,-0.78
104,4.6,2,0.23
105,8.9,2,0.71
106,1.8,2,0.05
107,21.2,2,1.79
108,3.7,2,-0.25
109,3.1,2,-1.58
110,9.5,2,1.93
111,8.7,2,0.05
112,3.2,2,0.54
113,8.9,2,-0.16
114,10.6,2,-0.79
115,1.2,2,-0.32
116,3.3,2,0.66
117,2.2,2,0.27
118,3.3,2,0.05
119,5.3,2,0.50
120,0.5,2,-1.91
121,4.4,2,-0.19
122,4.1,2,0.08
123,1.0,2,-0.44
124,0.5,2,-0.73
125,4.0,2,1.28
126,7.6,2,1.53
127,8.4,2,1.12
128,9.9,2,1.42
129,1.6,2,0.56
130,7.2,2,0.18
131,2.1,2,1.22
132,1.0,2,-2.50
133,0.8,2,-0.21
134,0.9,2,-1.38
135,1.1,2,-0.91
136,0.5,2,-1.11
137,4.9,2,1.41
138,2.1,2,-0.26
139,8.7,2,1.85
140,0.6,2,-0.69
141,4.4,2,-0.29
142,15.8,2,-0.51
143,1.9,2,-0.30
144,2.8,2,0.12
145,1.9,2,-1.42
146,1.6,2,-0.55
147,4.7,2,-1.00
148,4.8,2,-0.11
149,1.7,2,-1.23
150,4.3,2,-1.11
151,12.9,2,-0.24
152,1.4,2,-0.44
153,2.1,2,-0.49
154,1.8,2,1.01
155,5.1,2,-0.11
156,1.4,2,-1.04
157,4.1,2,0.94
158,2.3,2,0.25
159,2.7,2,0.28
160,10.5,2,-0.84
